Country,State_Name,Years_in_US,Education_Group,Total_People,Sum_Mortgages,Sum_Income,Sum_Rent,Total_Renters,State_Rent_Benchmark,Mortgaged_Ownership_Rate,Avg_Income,Avg_Rent_Paid_Renters,Rent_Performance_Ratio
Bangladesh,California,13,3_HS Graduate,622.0,227.0,17185200.0,426700.0,328.0,1532.5372706520725,36.4951768488746,27628.93890675241,1300.9146341463415,0.8488632929578418
Bangladesh,California,13,4_Some College,694.0,434.0,40595700.0,178100.0,101.0,1532.5372706520725,62.53602305475504,58495.24495677234,1763.3663366336634,1.150618892213549
Bangladesh,California,13,5_College+ (Bachelor or Higher),1553.0,586.0,210146000.0,1489560.0,907.0,1532.5372706520725,37.73341918866709,135316.16226658082,1642.2932745314222,1.0716171841175843
Bangladesh,California,14,3_HS Graduate,1447.0,552.0,25474560.0,976660.0,781.0,1532.5372706520725,38.14789219073946,17605.086385625433,1250.5249679897568,0.8159833969047138
Bangladesh,California,14,4_Some College,533.0,52.0,7035540.0,787500.0,414.0,1532.5372706520725,9.75609756097561,13199.887429643528,1902.1739130434783,1.2411925957494858
Bangladesh,California,14,5_College+ (Bachelor or Higher),2827.0,1453.0,133231380.0,1767680.0,1209.0,1532.5372706520725,51.397240891404316,47128.18535550053,1462.1009098428453,0.9540393815158195
Bangladesh,California,15,2_Some High School,524.0,475.0,441000.0,78400.0,49.0,1532.5372706520725,90.64885496183206,841.6030534351145,1600.0,1.044020286253282
Bangladesh,California,15,4_Some College,909.0,373.0,24215000.0,1448900.0,476.0,1532.5372706520725,41.03410341034103,26639.16391639164,3043.90756302521,1.9861882782988183
Bangladesh,California,15,5_College+ (Bachelor or Higher),1709.0,738.0,91889800.0,1855550.0,869.0,1532.5372706520725,43.18314803978935,53768.168519602106,2135.270425776755,1.3932910257172593
Bangladesh,California,16,2_Some High School,219.0,82.0,11050.0,57200.0,52.0,1532.5372706520725,37.44292237442922,50.45662100456621,1100.0,0.7177639467991312
Bangladesh,California,16,4_Some College,1561.0,114.0,32788500.0,1796000.0,1067.0,1532.5372706520725,7.3030108904548365,21004.80461242793,1683.223992502343,1.09832499655043
Bangladesh,California,16,5_College+ (Bachelor or Higher),1785.0,493.0,124357900.0,2164040.0,1198.0,1532.5372706520725,27.61904761904762,69668.2913165266,1806.3772954924875,1.1786840882009348
Bangladesh,California,17,2_Some High School,211.0,0.0,362500.0,211360.0,182.0,1532.5372706520725,0.0,1718.0094786729858,1161.3186813186812,0.7577751638135084
Bangladesh,California,17,3_HS Graduate,298.0,39.0,5727000.0,184800.0,219.0,1532.5372706520725,13.087248322147651,19218.120805369126,843.8356164383562,0.5506134386404294
Bangladesh,California,17,4_Some College,956.0,45.0,17851520.0,733620.0,610.0,1532.5372706520725,4.707112970711297,18673.138075313807,1202.655737704918,0.7847481172142752
Bangladesh,California,17,5_College+ (Bachelor or Higher),2540.0,1556.0,214854480.0,2225700.0,984.0,1532.5372706520725,61.25984251968504,84588.37795275591,2261.890243902439,1.4759120624453312
Bangladesh,California,18,2_Some High School,386.0,252.0,2434600.0,201000.0,134.0,1532.5372706520725,65.28497409326425,6307.253886010362,1500.0,0.9787690183624518
Bangladesh,California,18,3_HS Graduate,1373.0,333.0,16917300.0,1112260.0,877.0,1532.5372706520725,24.25345957756737,12321.412964311727,1268.255416191562,0.8275527391591185
Bangladesh,California,18,4_Some College,452.0,277.0,22784000.0,151200.0,84.0,1532.5372706520725,61.283185840707965,50407.0796460177,1800.0,1.1745228220349422
Bangladesh,California,18,5_College+ (Bachelor or Higher),3252.0,1926.0,339046180.0,2027390.0,1268.0,1532.5372706520725,59.22509225092251,104257.74292742928,1598.8880126182964,1.0432947003879343
Bangladesh,California,19,1_Low (No/Primary),278.0,50.0,5827000.0,319200.0,228.0,1532.5372706520725,17.985611510791365,20960.43165467626,1400.0,0.9135177504716216
Bangladesh,California,19,2_Some High School,228.0,0.0,7067800.0,344000.0,228.0,1532.5372706520725,0.0,30999.122807017542,1508.7719298245613,0.9844928137914719
Bangladesh,California,19,3_HS Graduate,699.0,427.0,24032200.0,337100.0,224.0,1532.5372706520725,61.08726752503576,34380.82975679542,1504.9107142857142,0.9819733216963764
Bangladesh,California,19,4_Some College,1103.0,313.0,54462200.0,1482100.0,790.0,1532.5372706520725,28.377153218495017,49376.427923844065,1876.0759493670887,1.2241633435569534
Bangladesh,California,19,5_College+ (Bachelor or Higher),2174.0,981.0,135013490.0,2089500.0,996.0,1532.5372706520725,45.12419503219871,62103.72125114995,2097.89156626506,1.3689008459627463
Bangladesh,California,20,3_HS Graduate,364.0,222.0,6285000.0,120600.0,80.0,1532.5372706520725,60.98901098901099,17266.483516483517,1507.5,0.983662863454264
Bangladesh,California,20,4_Some College,568.0,176.0,53492800.0,694300.0,392.0,1532.5372706520725,30.985915492957744,94177.4647887324,1771.1734693877552,1.1557131453215141
Bangladesh,California,20,5_College+ (Bachelor or Higher),2937.0,1296.0,219595390.0,2097500.0,857.0,1532.5372706520725,44.12665985699694,74768.60401770515,2447.4912485414234,1.5970190711903869
Bangladesh,California,21,3_HS Graduate,1044.0,560.0,17877200.0,382800.0,264.0,1532.5372706520725,53.63984674329502,17123.754789272032,1450.0,0.9461433844170367
Bangladesh,California,21,4_Some College,708.0,541.0,16118600.0,334000.0,167.0,1532.5372706520725,76.41242937853107,22766.38418079096,2000.0,1.3050253578166022
Bangladesh,California,21,5_College+ (Bachelor or Higher),3063.0,1362.0,191945330.0,2775000.0,1244.0,1532.5372706520725,44.46620959843291,62665.79497224943,2230.707395498392,1.4555648584972152
Bangladesh,California,22,3_HS Graduate,827.0,242.0,12102000.0,1465200.0,585.0,1532.5372706520725,29.262394195888753,14633.615477629988,2504.6153846153848,1.6342932942503297
Bangladesh,California,22,4_Some College,220.0,121.0,7553500.0,156000.0,60.0,1532.5372706520725,55.00000000000001,34334.09090909091,2600.0,1.696532965161583
Bangladesh,California,22,5_College+ (Bachelor or Higher),2623.0,1526.0,288748820.0,2949300.0,1097.0,1532.5372706520725,58.177659168890585,110083.42356080824,2688.514129443938,1.7542895568862833
Bangladesh,California,23,3_HS Graduate,546.0,164.0,13850200.0,524600.0,302.0,1532.5372706520725,30.036630036630036,25366.666666666668,1737.0860927152319,1.1334706998519695
