CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11040808,3225.7299897,1,40000.0,,2160.0,866075.0,2019.0,9,31080,6,257.0,AHS_2023,2023,1,0,5.0,4.0,1700.0,,,,,1.0,0.13333333333333333,
11040809,2609.605568,1,80200.0,,,902014.0,1984.0,9,31080,8,343.0,AHS_2023,2023,1,0,2.0,30.0,1700.0,,,,,0.25,1.0,
11040811,752.14800978,2,46800.0,950.0,,,2016.0,3,16980,4,301.0,AHS_2023,2023,0,1,5.0,7.0,800.0,1.1875,,,,1.0,0.23333333333333334,0.8069444444444445
11040812,2946.1665789,1,105000.0,,,434175.0,1986.0,3,16980,6,501.0,AHS_2023,2023,1,0,4.0,30.0,800.0,,,,,0.75,1.0,
11040813,2108.4367651,2,25400.0,700.0,,,2008.0,3,16980,5,177.0,AHS_2023,2023,0,1,1.0,15.0,800.0,0.875,0.0,0.0,0.0,0.0,0.5,0.4583333333333333
11040814,557.8709259,2,350.0,400.0,,,2014.0,3,16980,2,2.0,AHS_2023,2023,0,1,3.0,9.0,800.0,0.5,1.0,0.0,1.0,0.5,0.3,0.43333333333333335
11040816,1931.1710647,1,200000.0,,1377.0,965992.0,1996.0,3,16980,7,501.0,AHS_2023,2023,1,0,5.0,27.0,800.0,,0.0,,0.0,1.0,0.9,
11040817,1435.0217959,,,,,,,3,16980,4,,AHS_2023,2023,0,0,,,800.0,,,,,,,
11040819,981.95251694,2,0.0,950.0,,,2021.0,3,16980,4,1.0,AHS_2023,2023,0,1,3.0,2.0,800.0,1.1875,0.0,0.0,0.0,0.5,0.06666666666666667,0.5847222222222223
11040821,2312.556302,2,97700.0,950.0,,,2014.0,3,16980,5,487.0,AHS_2023,2023,0,1,4.0,9.0,800.0,1.1875,0.0,0.0,0.0,0.75,0.3,0.7458333333333332
11040823,2491.9985799,1,55700.0,,,406494.0,2017.0,3,16980,7,238.0,AHS_2023,2023,1,0,5.0,6.0,800.0,,,,,1.0,0.2,
11040827,3064.4577785,1,96000.0,,,228502.0,2020.0,3,16980,5,410.0,AHS_2023,2023,1,0,4.0,3.0,800.0,,,,,0.75,0.1,
11040828,2308.8502846,1,641000.0,,2432.0,1572120.0,2022.0,3,16980,8,501.0,AHS_2023,2023,1,0,5.0,1.0,800.0,,0.0,,0.0,1.0,0.03333333333333333,
