yy1,y1,WEIGHT,hhsex,age,agecl,educ,edcl,race,lf,married,kids,INCOME,inccat,NETWORTH,nwcat,housecl,mrthel,rent,turndown,turnfear,late,checking,saving,fin,debt,SURVEY_YEAR,SOURCE,IS_OWNER,IS_RENTER,CREDIT_EXCLUDED,EDU_TIER,Rp
2279,22791,5408.566855104658,2,50,3,11,3,1,0,2,2,30686.434911481483,2,2921.1973509933773,1,2,0.0,1391.046357615894,0,1,0,463.682119205298,0.0,486.8662251655629,1043.2847682119204,2019,SCF,0,1,1.0,4,0.5439718344454907
2280,22801,5991.122185434795,1,21,1,9,3,1,1,2,0,20890.380689739315,1,520981.6370860927,4,2,0.0,521.6423841059602,0,1,0,0.0,2898.0132450331125,519150.09271523176,6282.892715231788,2019,SCF,0,1,1.0,4,0.2996455020250584
2281,22811,6710.221566489306,1,76,6,12,4,1,0,1,0,82617.32476168091,3,242737.5894039735,3,1,0.0,,0,0,0,83462.78145695364,0.0,115225.00662251655,17388.079470198674,2019,SCF,1,0,0.0,5,
2282,22821,2425.221448228774,1,59,4,12,4,1,1,1,3,2454914.7929185187,6,20062748.630463578,5,1,753483.4437086093,,0,0,0,49845.82781456954,0.0,11815779.602649007,753483.4437086093,2019,SCF,1,0,0.0,5,
2283,22831,7958.978814799024,1,63,4,8,2,1,0,1,0,119204.9971561396,4,81260.29139072848,2,1,246910.72847682118,,0,0,0,12751.258278145695,0.0,12751.258278145695,310551.09933774837,2019,SCF,1,0,0.0,3,
2284,22841,3272.9175813129978,1,33,1,8,2,1,1,1,1,68454.3548025356,3,7326.177483443708,1,2,0.0,672.3390728476821,1,1,0,718.7072847682119,0.0,6051.051655629139,811.4437086092715,2019,SCF,0,1,1.0,3,0.11786056412985634
2285,22851,4715.718120493088,1,47,3,9,3,1,1,1,2,113303.75967316239,4,97373.24503311259,2,1,155333.50993377483,,0,0,0,1159.205298013245,579.6026490066225,53323.44370860927,191848.47682119205,2019,SCF,1,0,0.0,4,
2286,22861,11061.049152192343,2,80,6,11,3,1,0,2,0,24785.197428504274,1,560707.6026490066,4,1,0.0,,0,0,0,208656.95364238412,0.0,208656.95364238412,0.0,2019,SCF,1,0,0.0,4,
2287,22871,6904.013898660101,1,69,5,12,4,2,0,2,0,6019.262232636752,1,166983.52317880795,3,1,0.0,,0,0,0,405.72185430463577,0.0,405.72185430463577,0.0,2019,SCF,1,0,0.0,5,
2288,22881,3103.4916316358813,1,48,3,12,4,5,1,1,1,259654.44925099713,6,929334.8874172185,4,1,127512.58278145695,,0,0,0,3941.298013245033,16228.874172185431,573111.0993377484,188950.46357615895,2019,SCF,1,0,0.0,5,
2289,22891,5587.776627229434,1,58,4,6,1,2,1,2,0,42488.90987743589,2,23.1841059602649,1,2,0.0,811.4437086092715,1,1,0,0.0,0.0,23.1841059602649,0.0,2019,SCF,0,1,1.0,2,0.2291733191413873
2290,22901,5375.738440967602,2,69,5,12,4,1,0,2,0,24785.197428504274,1,5726.474172185431,1,2,0.0,741.8913907284768,0,0,1,1159.205298013245,0.0,1159.205298013245,185.4728476821192,2019,SCF,0,1,0.0,5,0.3591941002052763
2291,22911,4872.307615819445,1,53,3,8,2,2,1,1,1,47209.89986381767,2,347.7615894039735,1,2,0.0,985.3245033112582,0,0,0,347.7615894039735,0.0,347.7615894039735,0.0,2019,SCF,0,1,0.0,3,0.2504536987759446
2292,22921,5417.685015340386,1,23,1,12,4,1,1,2,0,21244.454938717947,1,92736.4238410596,2,2,0.0,730.2993377483443,0,0,0,2318.41059602649,49845.82781456954,63756.291390728475,0.0,2019,SCF,0,1,0.0,5,0.4125119744544971
2293,22931,7107.399447334147,2,34,1,12,4,2,1,2,2,41308.662380840455,2,63698.33112582781,2,2,0.0,1159.205298013245,0,0,0,34.77615894039735,115.9205298013245,50947.07284768212,0.0,2019,SCF,0,1,0.0,5,0.33674446894244664
2294,22941,5569.197279279162,2,49,3,12,4,2,1,2,1,88518.56224465813,4,65263.258278145695,2,1,127512.58278145695,,0,0,1,6143.788079470199,0.0,36283.12582781457,165766.35761589403,2019,SCF,1,0,0.0,5,
2295,22951,1604.1066437052807,1,66,5,12,4,1,1,1,0,260834.6967475926,6,8968771.390728477,5,1,0.0,,0,0,0,10664.688741721855,5216.423841059603,6302946.966887417,0.0,2019,SCF,1,0,0.0,5,
2296,22961,8683.744068996912,1,27,1,8,2,1,1,1,0,84977.81975487179,3,50832.31152317881,2,1,202860.9271523179,,0,0,0,231.841059602649,406.88105960264903,5507.384370860927,213177.85430463575,2019,SCF,1,0,0.0,3,
2297,22971,1909.8015276424237,1,59,4,12,4,1,1,1,0,141629.69959145298,4,3921742.21986755,5,1,455567.6821192053,,0,0,1,1159.205298013245,347.7615894039735,23589.827814569537,488025.43046357617,2019,SCF,1,0,0.0,5,
2298,22981,6089.440421255121,1,67,5,11,3,5,0,2,0,27145.692421695156,1,4694.781456953642,1,2,0.0,915.7721854304635,0,0,0,57.96026490066225,0.0,2028.609271523179,0.0,2019,SCF,0,1,0.0,4,0.40482541592428906
2299,22991,106.39204840882417,1,57,4,8,2,1,1,1,0,4437730.58719886,6,31172885.19205298,5,1,2550251.655629139,,0,0,1,46368.2119205298,0.0,2808754.437086093,2550251.655629139,2019,SCF,1,0,0.0,3,
